Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle,affiliation,Processed,Sentiment,Certainty
O-Ton,2023-06-30,tagesschau,"(Es ist niemandem zuraten, nach dem 01.01.2024 noch eine Öl- oder Gasheizung einzubauen; das wird teuer; der Gaspreis gehtnach oben)",stellvertretender Fraktionsvorsitzender Bündnis 90/Die Grünen,Andreas Audretsch,"Es ist niemandem zu raten, nach dem 1.1.'24",Die Grünen,niemand raten 1124,negative,0.6995788216590881
O-Ton,2023-05-24,tagesthemen,"(Will darüber sprechen, wie man gerechtereSteuerpolitik machen kann, die die Reichen stärker in die Pflicht nimmt oder darüber, klimaschädlicheSubventionen zu kürzen)",Fraktion Bündnis 90/Die Grünen,Sven-Christian Kindler,"... wie man eine gerechtere Steuerpolitik machen kann,",Die Grünen,  gerecht Steuerpolitik,negative,0.6064425110816956
O-Ton,2023-03-28,tagesthemen,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",,Ricarda Lang,dass nicht mehr jeder Bereich fuer sich Klimaziele erreichen muss.,Die Grünen,mehr Bereich Fuer klimaziele erreichen,negative,0.47402140498161316
O-Ton,2023-06-13,tagesthemen,"(Das Gesetz hat sich nie alleine auf die Wärmepumpe konzentriert. Das hatte von Anfangan acht Erfüllungsoption, wie man diese klimaneutrale Heizung schaffen kann. Und das zweite ist, es wirdweiterhin und das ist ganz wichtig, ab dem 01.01.2024 gelten. Was wir jetzt ermöglichen oder worauf wir unsverständigt haben, ist eine Entscheidungszeit. Das heißt in dem Zeitraum, bis dann eine kommunaleWärmeplanung da ist. Spätestens bis 2028 haben die Menschen die Möglichkeit zu warten. Darauf kommtdenn die Fernwärme in meinem Stadtteil wird hier geplant, ob es ein Wasserstoff Quartier ist. Und da sindmehr Entscheidungsoptionen jetzt möglich. Aber die Heizungen, die in diesem Zeitraum eingebaut werden,die müssen dann, wenn die Wärmeplanung vorliegt, auch die Anforderungen erfüllen. Deswegen haben wirGrünen auch an dieser Stelle gesagt, es ist kein weniger an Klimaschutz, weil die Heizung ja dann am Endeauch klimaneutral sein müssen oder 65 Prozent Erneuerbare schaffen müssen an dieser Stelle. Aber wirermöglichen mehr Entscheidungszeit)",,Katharina Dröge,wie man die klimaneutrale Heizung schaffen kann.,Die Grünen,klimaneutral Heizung schaffen,negative,0.3921678066253662
O-Ton,2023-06-13,tagesthemen,"(Das Gesetz wird zum 01.01.2024 in krafttreten, und es wird für die Menschen nicht besser, wenn wir die Entscheidung in den Herbst vertagen)",Fraktionsvorsitzende Bündnis 90/Die Grünen,Katharina Dröge,"Es wird nicht besser, wenn wir die Entscheidung in den Herbst vertagen.",Die Grünen,gut Entscheidung Herbst vertagen,neutral,0.9980691075325012
O-Ton,2023-05-10,tagesthemen,"(""Ich biete eine Angriffsfläche, weil wir die Dinge ändern. Die große Koalition, die letzteBundesregierung, hat sich entschieden, ... die Klimaneutralität Deutschlands bis 2045 erreichen zu wollenund hat nichts oder wenig dafür getan. Das ändern wir jetzt. Wir tun etwas dafür. Ich tue etwas dafür ... Dasbedeutet auch, Angriffsfläche zu werden ... Wenn man Deutschland klimaneutral macht, dann heißt es ja imKlartext, es wird kein Gas mehr verbrannt in unseren Häusern. Das ist ein riesen Geschäftsfeld ... Nur will ichnicht die beiden verschiedenen Bereiche, wie es die Opposition, die Union in diesem Fall, tut, vermengen. Ichmöchte Klarheit bei der Fehlerzugabe. Das tun wir. Wir haben das selbst transparent gemacht ... Und dannwill ich aber auch nicht aus taktischen Gründen eine, wie ich finde, unangemessene Entscheidungen treffen"")","weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Es verschwindet nicht, nur weil Sie sagen, wir machen es jetzt anders.",Die Grünen,verschwinden sagen,neutral,0.9893386960029602
O-Ton,2023-06-30,tagesschau,"(Es ist niemandem zuraten, nach dem 01.01.2024 noch eine Öl- oder Gasheizung einzubauen; das wird teuer; der Gaspreis gehtnach oben)",stellvertretender Fraktionsvorsitzender Bündnis 90/Die Grünen,Andreas Audretsch,"Das wird sehr, sehr teuer. Der Gaspreis geht nach oben.",Die Grünen,teuer Gaspreis gehen oben,neutral,0.9876708984375
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,"Die Heizung haelt 30 Jahre, so viele Jahre haben wir nicht mehr.",Die Grünen,Heizung haeln 30 Jahr vieler Jahr mehr,neutral,0.9790796041488647
O-Ton,2023-05-23,tagesthemen,"(Dass es nichtaufgesetzt wird, ist ein Wortbruch)",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Dass es nicht aufgesetzt wird, ist aus meiner Sicht ein Wortbruch.",Die Grünen,aufsetzen Sicht Wortbruch,neutral,0.9727873802185059
O-Ton,2023-05-10,tagesthemen,"(Es ""geht darum, diese Glaubwürdigkeit wieder herzustellen - das tun wir durch diegenannten Maßnahmen. Es ist heute im Bundestag von dem Generalsekretär Union gesagt worden, unterdem Vorwand der Aufklärung der Trauzeugenaffäre ... 'Wir nutzen das nur, um das Gesetz zur Wärmewendezu bekämpfen.' Das hat er wörtlich so gesagt oder fast wirklich so gesagt. Und sie starten morgen eineKampagne gegen das Gesetz. Und insofern ist also auch der Vorwurf der Union immer an der Frage auchwas wird hier eigentlich miteinander vermengt?"")",diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",unter dem Vorwand der Aufklaerung der Trauzeugenaffaere ...,Die Grünen,Vorwand Aufklaerung Trauzeugenaffaere,neutral,0.968221127986908
O-Ton,2023-05-10,tagesthemen,"(zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst, und auf diekonzentriere ich mich, gibt es meiner Ansicht nach nicht her. Das strategische Argument 'mach es dir dochbequemer, werd doch beliebter oder werde wieder beliebt und deswegen entlasse Leute', ist eine Art, die icheigentlich nicht pflegen möchte. Und deswegen versuche ich, die Dinge zu trennen"")",und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Das ist eine Art, die ich nicht pflegen moechte.",Die Grünen,Art pflegen moechen,neutral,0.962904155254364
O-Ton,2023-06-13,tagesthemen,"(Das Gesetz hat sich nie alleine auf die Wärmepumpe konzentriert. Das hatte von Anfangan acht Erfüllungsoption, wie man diese klimaneutrale Heizung schaffen kann. Und das zweite ist, es wirdweiterhin und das ist ganz wichtig, ab dem 01.01.2024 gelten. Was wir jetzt ermöglichen oder worauf wir unsverständigt haben, ist eine Entscheidungszeit. Das heißt in dem Zeitraum, bis dann eine kommunaleWärmeplanung da ist. Spätestens bis 2028 haben die Menschen die Möglichkeit zu warten. Darauf kommtdenn die Fernwärme in meinem Stadtteil wird hier geplant, ob es ein Wasserstoff Quartier ist. Und da sindmehr Entscheidungsoptionen jetzt möglich. Aber die Heizungen, die in diesem Zeitraum eingebaut werden,die müssen dann, wenn die Wärmeplanung vorliegt, auch die Anforderungen erfüllen. Deswegen haben wirGrünen auch an dieser Stelle gesagt, es ist kein weniger an Klimaschutz, weil die Heizung ja dann am Endeauch klimaneutral sein müssen oder 65 Prozent Erneuerbare schaffen müssen an dieser Stelle. Aber wirermöglichen mehr Entscheidungszeit)",,Katharina Dröge,"Deswegen haben wir gesagt, das ist kein Weniger an Klimaschutz.",Die Grünen,deswegen sagen weniger Klimaschutz,neutral,0.960793137550354
O-Ton,2023-05-10,tagesthemen,"(""Wir gehen zurück auf Null, wir schreiben das Verfahren neu aus. Wir machen alles, umdiesen Fehler aus der Welt zu schaffen ... Die Frage ist ja, die wir hier verhandeln, soll alles miteinanderverknüpft werden, und zwar mit Unterstellungen ... Ich möchte gerne die Sachen trennen. Ob ich damitdurchkomme, ob das erfolgreich sein wird, werden wir sehen"")","wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Aber am Ende kann ich die Frage nicht beantworten.,Die Grünen,Ende Frage beantworten,neutral,0.9599059224128723
O-Ton,2023-03-28,tagesthemen,"(zur Möglichkeit von Kompensationszahlungen, wenn durch Baumaßnahmen in Natur undLandschaft eingegriffen wird: ""Das bedeutet, dass es in Zukunft eine Agentur geben soll, die eineVerantwortung dafür hat, gemeinsam zu schauen, welche Fläche kann eigentlich bestmöglich genutztwerden. Das heißt, das Prinzip, wenn ich einen bestimmten Bau vornehme, ich gleichzeitig einen Ausgleichleisten muss und dass das über Flächen gelingt, das bleibt weiterhin ... Klimaschutz, Naturschutz wird durchdiese Vereinbarung ganz klar gestärkt"")",wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,"Heisst das, man kann sich da freikaufen?",Die Grünen,heisst freikaufen,neutral,0.9596430063247681
O-Ton,2023-06-18,tagesschau,,Ministerpräsident Baden-Württemberg/Bündnis 90/Die Grünen,Winfried Kretschmann,Und nicht selber was zu machen und uns unter Zeitdruck zu sagen:,Die Grünen,selber Zeitdruck sagen,neutral,0.9584311246871948
O-Ton,2023-05-30,tagesthemen,"(Sehr ärgerlich, dass wir momentan in einerblockierten Situation sind; FDP muss jetzt den Schritt machen, dass wir wieder handlungsfähig sind)",Fraktionsvorsitzende Bündnis 90/Die Grünen,Katharina Dröge,Die muss ja nicht sofort kaputt gehen.,Die Grünen,Muss ja sofort kaputt gehen,neutral,0.9570816159248352
O-Ton,2023-06-13,tagesthemen,"(Das Gesetz hat sich nie alleine auf die Wärmepumpe konzentriert. Das hatte von Anfangan acht Erfüllungsoption, wie man diese klimaneutrale Heizung schaffen kann. Und das zweite ist, es wirdweiterhin und das ist ganz wichtig, ab dem 01.01.2024 gelten. Was wir jetzt ermöglichen oder worauf wir unsverständigt haben, ist eine Entscheidungszeit. Das heißt in dem Zeitraum, bis dann eine kommunaleWärmeplanung da ist. Spätestens bis 2028 haben die Menschen die Möglichkeit zu warten. Darauf kommtdenn die Fernwärme in meinem Stadtteil wird hier geplant, ob es ein Wasserstoff Quartier ist. Und da sindmehr Entscheidungsoptionen jetzt möglich. Aber die Heizungen, die in diesem Zeitraum eingebaut werden,die müssen dann, wenn die Wärmeplanung vorliegt, auch die Anforderungen erfüllen. Deswegen haben wirGrünen auch an dieser Stelle gesagt, es ist kein weniger an Klimaschutz, weil die Heizung ja dann am Endeauch klimaneutral sein müssen oder 65 Prozent Erneuerbare schaffen müssen an dieser Stelle. Aber wirermöglichen mehr Entscheidungszeit)",,Katharina Dröge,haben die Menschen die Moeglichkeit zu warten.,Die Grünen,Mensch Moeglichkeit warten,neutral,0.9359622001647949
O-Ton,2023-05-10,tagesthemen,"(""Ich biete eine Angriffsfläche, weil wir die Dinge ändern. Die große Koalition, die letzteBundesregierung, hat sich entschieden, ... die Klimaneutralität Deutschlands bis 2045 erreichen zu wollenund hat nichts oder wenig dafür getan. Das ändern wir jetzt. Wir tun etwas dafür. Ich tue etwas dafür ... Dasbedeutet auch, Angriffsfläche zu werden ... Wenn man Deutschland klimaneutral macht, dann heißt es ja imKlartext, es wird kein Gas mehr verbrannt in unseren Häusern. Das ist ein riesen Geschäftsfeld ... Nur will ichnicht die beiden verschiedenen Bereiche, wie es die Opposition, die Union in diesem Fall, tut, vermengen. Ichmöchte Klarheit bei der Fehlerzugabe. Das tun wir. Wir haben das selbst transparent gemacht ... Und dannwill ich aber auch nicht aus taktischen Gründen eine, wie ich finde, unangemessene Entscheidungen treffen"")","weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Wenn man Deutschland klimaneutral macht, dann heisst es ja,",Die Grünen,Deutschland Klimaneutral heisst ja,neutral,0.9248940944671631
O-Ton,2023-05-10,tagesthemen,"(""Ich erlebe jetzt seit mehreren Wochen, dass mit einer Härte und fast Böswilligkeit,Unterstellungen, Beleidigungen, teilweise Lügen verbreitet werden, um ein Ziel durchzusetzen: dieVerhinderung der Dekarbonisierung, des Klimaschutzes im Wärmebereich. Und da bin ich nicht bereit,Menschen zu opfern, um dieser Kampagne nachzugeben"")","dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",Deswegen kann ich mit der Frage wenig anfangen.,Die Grünen,deswegen Frage wenig anfangen,neutral,0.9217168688774109
O-Ton,2023-05-10,tagesthemen,"(""Ich biete eine Angriffsfläche, weil wir die Dinge ändern. Die große Koalition, die letzteBundesregierung, hat sich entschieden, ... die Klimaneutralität Deutschlands bis 2045 erreichen zu wollenund hat nichts oder wenig dafür getan. Das ändern wir jetzt. Wir tun etwas dafür. Ich tue etwas dafür ... Dasbedeutet auch, Angriffsfläche zu werden ... Wenn man Deutschland klimaneutral macht, dann heißt es ja imKlartext, es wird kein Gas mehr verbrannt in unseren Häusern. Das ist ein riesen Geschäftsfeld ... Nur will ichnicht die beiden verschiedenen Bereiche, wie es die Opposition, die Union in diesem Fall, tut, vermengen. Ichmöchte Klarheit bei der Fehlerzugabe. Das tun wir. Wir haben das selbst transparent gemacht ... Und dannwill ich aber auch nicht aus taktischen Gründen eine, wie ich finde, unangemessene Entscheidungen treffen"")","weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Legitimerweise treten Leute auch fuer ihre Interessen ein.,Die Grünen,legitimerweise treten Leute Fuer Interesse,positive,0.999990701675415
O-Ton,2023-03-28,tagesthemen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Vor einer Woche beklagte Robert Habeck hier im Interview beklagt,",Die Grünen,Woche beklagt Robert Habeck Interview beklagen,positive,0.9999898672103882
O-Ton,2023-07-07,tagesschau,"(""Das ist eine Frageauch des Respekts vor der Würde dieser Landeskammer, sich dann bei der Beratung der Gesetze hier auchder Verantwortung zu stellen"")",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Im Bundestag geht es dann tatsaechlich um das Gebaeudeenergiegesetz.,Die Grünen,Bundestag gehen tatsaechlich Gebaeudeenergiegesetz,positive,0.9999892711639404
O-Ton,2023-05-15,tagesschau,"(""Wir sind für Sondierungsgespräche ... bereit, weil wirhoffen, dass wir weiter mitwirken können"")",Vorsitzender Bündnis 90/Die Grünen,Omid Nouripour,Trotz ihrer Verluste wollen die Gruenen dort weiter mitregieren.,Die Grünen,trotz Verlust Gruen mitregieren,positive,0.9999891519546509
O-Ton,2023-03-28,tagesthemen,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",,Ricarda Lang,"Wir bekraeftigen gemeinsam, dass das Gebaeude-Energiegesetz kommen wird.",Die Grünen,bekraeftigen gemeinsam Gebaeudeenergiegesetz kommen,positive,0.9999890327453613
O-Ton,2023-05-10,tagesthemen,"(Es ""geht darum, diese Glaubwürdigkeit wieder herzustellen - das tun wir durch diegenannten Maßnahmen. Es ist heute im Bundestag von dem Generalsekretär Union gesagt worden, unterdem Vorwand der Aufklärung der Trauzeugenaffäre ... 'Wir nutzen das nur, um das Gesetz zur Wärmewendezu bekämpfen.' Das hat er wörtlich so gesagt oder fast wirklich so gesagt. Und sie starten morgen eineKampagne gegen das Gesetz. Und insofern ist also auch der Vorwurf der Union immer an der Frage auchwas wird hier eigentlich miteinander vermengt?"")",diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Es ist heute im Bundestag von dem Generalsekretaer Union gesagt worden,",Die Grünen,heute Bundestag generalsekretaer Union sagen,positive,0.9999881982803345
O-Ton,2023-05-24,tagesthemen,"(Die Compliance-Regeln sind nicht nur eingehalten worden, sondern übererfüllt worden; Udo Philipp hat mehr Transparenz alsviele andere Mitglieder von Regierungen)",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Und Einigkeit versuchen sie, auch im Plenum zu demonstrieren.",Die Grünen,Einigkeit versuchen Plenum demonstrieren,positive,0.9999877214431763
O-Ton,2023-03-28,tagesthemen,"(zur Möglichkeit von Kompensationszahlungen, wenn durch Baumaßnahmen in Natur undLandschaft eingegriffen wird: ""Das bedeutet, dass es in Zukunft eine Agentur geben soll, die eineVerantwortung dafür hat, gemeinsam zu schauen, welche Fläche kann eigentlich bestmöglich genutztwerden. Das heißt, das Prinzip, wenn ich einen bestimmten Bau vornehme, ich gleichzeitig einen Ausgleichleisten muss und dass das über Flächen gelingt, das bleibt weiterhin ... Klimaschutz, Naturschutz wird durchdiese Vereinbarung ganz klar gestärkt"")",wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,Da wird das Umweltministerium mit den Laendern arbeiten.,Die Grünen,Umweltministerium Laender arbeiten,positive,0.9999874830245972
O-Ton,2023-03-28,tagesthemen,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",,Ricarda Lang,Wir haben eine begrenzte Anzahl von Autobahnen beschleunigt.,Die Grünen,begrenzt Anzahl Autobahn beschleunigen,positive,0.9999873638153076
O-Ton,2023-06-15,tagesthemen,"(""Der Kern desGesetzes, die Dekarbonisierung der Wärme, nicht mehr immer neue Öl- und Gasheizungen einbauen, derbleibt erhalten"")",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Der Kern des Gesetzes - die Dekarbonisierung der Waerme -,Die Grünen,Kern Gesetz   Dekarbonisierung Waerme,positive,0.9999860525131226
O-Ton,2023-05-30,tagesthemen,"(Sehr ärgerlich, dass wir momentan in einerblockierten Situation sind; FDP muss jetzt den Schritt machen, dass wir wieder handlungsfähig sind)",Fraktionsvorsitzende Bündnis 90/Die Grünen,Katharina Dröge,um seine Erfahrungen in das Gesetz einzubringen.,Die Grünen,Erfahrung Gesetz einbringen,positive,0.9999855756759644
O-Ton,2023-05-18,tagesthemen,"(Was wichtig ist, dasGebäudeenergiegesetz wird vor dem Sommer beschlossen und, dazu haben sich der Kanzler und derFinanzminister im Koalitionsausschuss und auch noch einmal im Kabinett verpflichtet. Die Zustimmungensind erteilt, und jetzt ist es auch an den Fraktionen im Deutschen Bundestag, das vor der Sommerpause einBeschluss herbeigeführt wird, dass dieses wichtige Gesetz für den Klimaschutz rechtzeitig beschlossen wird)",stellvertretender Fraktionsvorsitzender Bündnis 90/Die Grünen,Andreas Audretsch,"Dazu haben sich der Kanzler und der Finanzminister verpflichtet,",Die Grünen,Kanzler Finanzminister verpflichten,positive,0.9999854564666748
